instance,tag,solver,makespan,norm_makespan,soc,norm_soc,total_moves,norm_total_moves,exec_time,satisfied
X15Y15R2.1,0,ICBS-MS,19,1.0,32,1.0,32,1.0,0.4030883000000003,True
X15Y15R2.1,0,MCBS-MS,19,1.0,32,1.0,32,1.0,0.43813929999999957,True
X15Y15R2.1,0,MICBS-MS,19,1.0,32,1.0,32,1.0,0.41007880000000085,True
X15Y15R2.2,0,IS,8,1.0,13,1.0,26,2.0,0.07293599999999856,True
X15Y15R2.2,0,PP,8,1.0,13,1.0,13,1.0,0.054431900000000866,True
X15Y15R2.2,0,CBS-SOC,8,1.0,13,1.0,13,1.0,0.07821299999999987,True
X15Y15R2.2,0,GICBS-SOC,8,1.0,13,1.0,13,1.0,0.07351929999999918,True
X15Y15R2.2,0,ICBS-SOC,8,1.0,13,1.0,13,1.0,0.07828820000000114,True
X15Y15R2.2,0,MCBS-SOC,8,1.0,13,1.0,13,1.0,0.07953119999999991,True
X15Y15R2.2,0,MICBS-SOC,8,1.0,13,1.0,13,1.0,0.07439849999999915,True
X15Y15R2.2,0,CBS-MS,8,1.0,13,1.0,13,1.0,0.07243979999999972,True
X15Y15R2.2,0,GICBS-MS,8,1.0,13,1.0,13,1.0,0.07037069999999979,True
X15Y15R2.2,0,ICBS-MS,8,1.0,13,1.0,13,1.0,0.08554610000000018,True
X15Y15R2.2,0,MCBS-MS,8,1.0,13,1.0,13,1.0,0.0747409999999995,True
X15Y15R2.2,0,MICBS-MS,8,1.0,13,1.0,13,1.0,0.07017849999999903,True
X15Y15R2.3,0,IS,13,1.0,22,1.0,44,2.0,0.17463620000000013,True
X15Y15R2.3,0,PP,13,1.0,22,1.0,22,1.0,0.16395789999999977,True
X15Y15R2.3,0,CBS-SOC,13,1.0,22,1.0,22,1.0,0.1985545000000002,True
X15Y15R2.3,0,GICBS-SOC,13,1.0,22,1.0,22,1.0,0.19741939999999758,True
X15Y15R2.3,0,ICBS-SOC,13,1.0,22,1.0,22,1.0,0.1976937999999997,True
X15Y15R2.3,0,MCBS-SOC,13,1.0,22,1.0,22,1.0,0.20483309999999832,True
X15Y15R2.3,0,MICBS-SOC,13,1.0,22,1.0,22,1.0,0.1820403000000006,True
X15Y15R2.3,0,CBS-MS,13,1.0,22,1.0,22,1.0,0.19621839999999935,True
X15Y15R2.3,0,GICBS-MS,13,1.0,22,1.0,22,1.0,0.1934933999999977,True
X15Y15R2.3,0,ICBS-MS,13,1.0,22,1.0,22,1.0,0.20917010000000147,True
X15Y15R2.3,0,MCBS-MS,13,1.0,22,1.0,22,1.0,0.20880149999999986,True
X15Y15R2.3,0,MICBS-MS,13,1.0,22,1.0,22,1.0,0.2013101000000006,True
X15Y15R2.4,0,IS,15,1.0,27,1.0,54,2.0,0.22911889999999957,True
X15Y15R2.4,0,PP,15,1.0,27,1.0,27,1.0,0.23631789999999953,True
X15Y15R2.4,0,CBS-SOC,15,1.0,27,1.0,27,1.0,0.26707890000000134,True
X15Y15R2.4,0,GICBS-SOC,15,1.0,27,1.0,27,1.0,0.2592745000000001,True
X15Y15R2.4,0,ICBS-SOC,15,1.0,27,1.0,27,1.0,0.2616966000000005,True
X15Y15R2.4,0,MCBS-SOC,15,1.0,27,1.0,27,1.0,0.2389953000000027,True
X15Y15R2.4,0,MICBS-SOC,15,1.0,27,1.0,27,1.0,0.2504913000000002,True
X15Y15R2.4,0,CBS-MS,15,1.0,27,1.0,27,1.0,0.25162249999999986,True
X15Y15R2.4,0,GICBS-MS,15,1.0,27,1.0,27,1.0,0.24980640000000065,True
X15Y15R2.4,0,ICBS-MS,15,1.0,27,1.0,27,1.0,0.2470649999999992,True
X15Y15R2.4,0,MCBS-MS,15,1.0,27,1.0,27,1.0,0.24758070000000032,True
X15Y15R2.4,0,MICBS-MS,15,1.0,27,1.0,27,1.0,0.24632779999999954,True
X15Y15R3.1,0,IS,14,1.0,22,1.0,44,2.0,0.1344233999999993,True
X15Y15R3.1,0,PP,14,1.0,22,1.0,22,1.0,0.12636480000000105,True
X15Y15R3.1,0,CBS-SOC,14,1.0,22,1.0,22,1.0,0.1454342000000004,True
X15Y15R3.1,0,GICBS-SOC,14,1.0,22,1.0,22,1.0,0.15341619999999878,True
X15Y15R3.1,0,ICBS-SOC,14,1.0,22,1.0,22,1.0,0.148557499999999,True
X15Y15R3.1,0,MCBS-SOC,14,1.0,22,1.0,22,1.0,0.15053029999999978,True
X15Y15R3.1,0,MICBS-SOC,14,1.0,22,1.0,22,1.0,0.15306400000000053,True
X15Y15R3.1,0,CBS-MS,14,1.0,22,1.0,22,1.0,0.15720620000000096,True
X15Y15R3.1,0,GICBS-MS,14,1.0,22,1.0,22,1.0,0.1896450999999999,True
X15Y15R3.1,0,ICBS-MS,14,1.0,22,1.0,22,1.0,0.1899729999999984,True
X15Y15R3.1,0,MCBS-MS,14,1.0,22,1.0,22,1.0,0.17891389999999774,True
X15Y15R3.1,0,MICBS-MS,14,1.0,22,1.0,22,1.0,0.17083039999999983,True
X15Y15R3.2,0,IS,14,1.1666666666666667,35,1.1290322580645162,33,1.064516129032258,0.3457611000000007,True
X15Y15R3.2,0,PP,12,1.0,31,1.0,31,1.0,0.22296419999999983,True
X15Y15R3.2,0,CBS-SOC,12,1.0,31,1.0,31,1.0,0.4644382,True
X15Y15R3.2,0,GICBS-SOC,12,1.0,31,1.0,31,1.0,0.42100739999999703,True
X15Y15R3.2,0,ICBS-SOC,12,1.0,31,1.0,31,1.0,0.4950322999999983,True
X15Y15R3.2,0,MCBS-SOC,12,1.0,31,1.0,31,1.0,0.4751308999999999,True
X15Y15R3.2,0,MICBS-SOC,12,1.0,31,1.0,31,1.0,0.6290045999999982,True
X15Y15R3.2,0,CBS-MS,12,1.0,31,1.0,31,1.0,0.6009701000000014,True
X15Y15R3.2,0,GICBS-MS,12,1.0,31,1.0,31,1.0,0.5047685000000008,True
X15Y15R3.2,0,ICBS-MS,12,1.0,31,1.0,31,1.0,0.5827479999999987,True
X15Y15R3.2,0,MCBS-MS,12,1.0,31,1.0,31,1.0,0.5527341999999997,True
X15Y15R3.2,0,MICBS-MS,12,1.0,31,1.0,31,1.0,0.5277315000000016,True
X15Y15R3.3,0,IS,20,1.0,43,1.0,86,2.0,0.7424365999999978,True
X15Y15R3.3,0,PP,20,1.0,43,1.0,43,1.0,0.8116389000000019,True
X15Y15R3.3,0,CBS-SOC,20,1.0,43,1.0,43,1.0,0.7596331999999997,True
X15Y15R3.3,0,GICBS-SOC,20,1.0,43,1.0,43,1.0,0.8143692999999992,True
X15Y15R3.3,0,ICBS-SOC,20,1.0,43,1.0,43,1.0,0.6614721999999951,True
X15Y15R3.3,0,MCBS-SOC,20,1.0,43,1.0,43,1.0,0.6788559000000021,True
X15Y15R3.3,0,MICBS-SOC,20,1.0,43,1.0,43,1.0,0.7481102000000064,True
X15Y15R3.3,0,CBS-MS,20,1.0,43,1.0,43,1.0,0.6848346999999961,True
X15Y15R3.3,0,GICBS-MS,20,1.0,43,1.0,43,1.0,0.6696178999999987,True
X15Y15R3.3,0,ICBS-MS,20,1.0,43,1.0,43,1.0,0.7852823999999998,True
X15Y15R3.3,0,MCBS-MS,20,1.0,43,1.0,43,1.0,0.9799982999999983,True
X15Y15R3.3,0,MICBS-MS,20,1.0,43,1.0,43,1.0,0.7757299000000017,True
X15Y15R3.4,0,IS,21,1.0,36,1.0,72,2.0,0.4765646999999973,True
X15Y15R3.4,0,PP,21,1.0,36,1.0,36,1.0,0.5068930999999992,True
X15Y15R3.4,0,CBS-SOC,21,1.0,36,1.0,36,1.0,0.6377349000000052,True
X15Y15R3.4,0,GICBS-SOC,21,1.0,36,1.0,36,1.0,0.6605923999999987,True
X15Y15R3.4,0,ICBS-SOC,21,1.0,36,1.0,36,1.0,0.6196169999999981,True
X15Y15R3.4,0,MCBS-SOC,21,1.0,36,1.0,36,1.0,0.672796500000004,True
